ID,注意事項
1,猪原・清迫・向町・新町・本町・中町・十二神
2,ただし銀山・西山・宮賀・寺中を除く
3,銀山・西山・宮賀・寺中
4,上鴫コミュニティハウス前まで
5,美星自治会・塩こぼし自治会・美星団地・ 熊石田団地Ⅰ，Ⅱ，Ⅲ・布東団地
