label,sublabel,description,styles,bgcolor
燃やせるごみ,,,img/moyasu02.svg,#ea3b13
燃やせないごみ,,,img/moyasanai02.svg,#733b96
カン類,,,img/moyasanai02.svg,#81d12e
びん類,,,img/bin02.svg,#2dc7aa
ペットボトル,,,img/moyasanai02.svg,#91dde7
その他プラスチック,,,img/moyasanai02.svg,#27a047
紙パック・ダンボール・古新聞・古雑誌,,,,#ff6e00
